,video_id,comments
32,2QBsDH72MoM,"['Public demand pe ye raha Mera chotu sa piece :)', 'pewdiepie is bast', 'Carryminati is in the world legend', '60Million', '❤️🇦🇫❤️🦸🏻\u200d♀️❤️', 'He is a good rapper,roaster,acter,singer,comedian,gamer ohhh my god unbelievable 🔥🔥🔥🔥🔥 got goosebumps after listening this', 'Bruh are you serious? T-series vs Pewdipie was 3 years ago?', 'What An L', 'Nostalgia......', ""Pure tatti bro he's so cringe i don't know why people watch him""]"
33,XvyKSWfxM_w,"['Agar inki Shaadi hogyi toh aadha desh doob jayega...', 'Sex doll best one 🤣 love from Pakistan', 'Super ultra legend watching on 2022 😂😂', 'I se this video in 2022 😁😁', 'Ultra legends are watching this in October 2022 😀😂', 'Like who are watching in 2022🤣🤣', 'And mega ultra legends  are watching in 2022', 'Ultra pro legend are watching this in 2022', 'Full haha 😂😂 VIDEO', 'Legends are watching in 2022']"
34,n2VL8tGZSsA,"['Hello Alia Bhatt \nPlease logon ko itna pareshaan mat Karo. \nThank you ❤️', 'Op 😂', 'Ultra pro max legends watching in 2022 😂😂😂', 'Ultra pro Max legends watchin in 22', 'Ultra pro max legends watching in 2022😂😂', 'Max ultra pro watching 2022', 'Mera bhi naam anup hai pr mai aisi bkchodi na kru bc', 'Hello', ""Pro level legend's are watching in 2022"", 'Ultra pro Max op legend listening 8n 2022']"
35,10y9yefd_xY,"['Hi', 'https://youtube.com/channel/UCN_zX1RBUHFlPGTvIVx8hRQ', 'The only 1 channel almost everyone watch without skipping 👊💥......', 'CARRY BHAI OP BOLTI PUBLIC', '12:05', '12:04', 'Woh 69 alive jaana pehchana sa hain 😂😂😂😂', 'realy carry bhai maja aagya', ""Iska doosra party' ane wala ha"", '🤣🤣🤣']"
36,1x2K9Rie2Vg,"['Can you I am English samajh sakte bol Nahin paate', 'Hiii', 'Bahut behatreen editing', 'https://youtube.com/shorts/Ynpd2K3AaLE?feature=share', '🤣', 'sorry the subscribe button is black now', 'Desi boy met superhero', 'Wow I like your politeness', '❤️❤️❤️', '🤣🤣😁']"
37,6LjPVsA_INg,"['Sorry yaar kaafi time lagaya.. ajeeb ajeeb chesse hoti rehti hai mere sath :p \nAnyways Enjoy the Video <3', 'Legend are watching in 2022  😂🤣', 'R2h is still better than this guy', 'Hii', 'Kuch bolne ke liya choda nhi are bhaiiii 😁😅', '😂😂😂', 'Me manti hu 🥺🥰😍', 'He is ultra pro Max legend 😂😂😂', '🤣🤣🤣🤣', 'Bai miss you']"
38,wrmEZFSeOJo,"['""Ek Suar ko chahe Kitna hee sajalo voh mor nhi banjayega"" \nAgar maza aaya toh share mardena! \nLove you all ❤️', 'Black botton hai', 'Aajao  phir  kabhi  haveli   peee 😅😅😅', 'Super pro legends are watching in end of 2022', 'Full haha video', 'Tu mard nahi ijhada', 'Who is watching this video in 2022 also', '😂😂', '5 min 18 second most funny scene', 'tbh deepak kalal will roast the hell out of carry minati']"
39,qAt4__lG0es,"['Itna Saara Pyaar Dene Ke Liye Bohot Bohot Shukriya \nMein Vada karta hoon videos jaldi ayengi aur bohot badiya ayengi \nLove you all <3', '3:50 This line touched my heart 😢❤\n                    ""Stop R*pe""', '🙏🙏🙏', '4:40 was epic', 'Ladkiyoko rap karna ban aur ladkoko badnam   karna bad karo', 'Ladki yoka rap ban karo aur ladko ko badham karna bad karo', 'Please make QNA videos in 2022', 'Hii', 'Hi 😊👋😊😊👋😊👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋😊', 'e,9999999999999999 \nkg,999999999999999']"
40,fUTyUjYldqg,"['Jiski roti Uski Boti \nAaj kategi, Behen ki!... \nGuys agar Achi Lagi toh Like mardena 😊', 'Gand hai gulabi🤣🤣', 'The only 1 channel almost everyone watch without skipping 👊💥......', 'bhai maa Pakistan say hu aur mera name hamza hai\n🥰🥰🥰', 'Carryminati is stupid man', '😂😂', '💞💞💞💞', 'Sacchi mein', 'Bhai Imran Mere Papa ka naam hai', '10:18 🤣🤣🤣🤣🤣😂😂😂😂']"
41,nCNXaH67B-w,"['Maaf karna yaar  time lagaya Video mein, Beemar tha... \nAnyway, Kripya karke comment section mein Paan na thuke!', 'kaun kaun is video ko Paanch sal bad dekh raha hai...like kro', 'Kala dil kalaa dil... 😂😂😂😂', ""God's here after 4 years 😂😍"", 'Who is watching👀 in 2022', 'नमस्ते', '😂😂😂😂😂 bhai bihar se hu but maza bada aaya ...bhojpuri songs sach me itne gande ho gye hai 😂😂😂😂', 'Good', 'बेटा तेरे जैसे 10 को खरीद लेगा खेसारी', '5:48 Kala di, Kala dil 😂😂']"
42,Hm32viIpFqk,"['The movie in which banana is used as knife was written in that way wantedly. They know that viewership increases drastically if the movie is completely illogical. Many small directors use this same technique with that same hero.', ""Does carryminati knows that corona virus will come ..... 😂😂😂I think That's why the villains are wear musks"", 'End is very dangerous 😂', 'Kya re bhai ekadam Gadar bilkul 🤣🤣😂🤣🤣😂😂😂👌', '2022 : South Indian  movie 🔥🔥🔥🔥', 'Who is getting this video recommend after 4 years 🤣', 'Kis bosidiwali ka naam physics hai', 'Modda', 'Bhai ab ki south india ki dheko🔥🔥', 'Hi']"
43,iP-wzsu8pKw,"['Sponsor by tiktok 🤣🤣🤣', 'Tum bhai 🔥🔥🔥🔥🔥', 'one more video plz', '4:46 is why we are here', '🤣😇😇😇', '😂😂😂😂😂🤣🤣🤣🤣🤣😝', 'Tik tok hi presenta kiya tha video ko🤣🤣', 'Bhai tere paint patio huge hai', 'Xxxx', 'Emiway fans']"
44,rqNHHY1Ni_c,"['Aadhar Card Ko Link karna Na bhulen! 😂 \n300,000 Likes complete kardena hai isbaar! Happy New year to everyone ❤️', '🤣🤣', '🤣🤣🤣', 'My mobile fall down because the song aap kitne acche ho', 'Vishal', 'First!', 'Yeh wahi sandy hai jo Roadies me aaya tha😂😂', 'He is looking so cute in long hair 😍', 'Aadhar Card Ko Link Karee...😝🤣', '😅🤣🤣🤣🤣']"
45,L1AuR4NORTk,"['Agar video Pasand aaya toh share kardena guys! \nLove you all <3', '💞💞💞💞💞', 'Sir Big fan', 'Only ijjat was harmed in this video😂😂😂', ""This is the only likes goal that carry haven't achieved yet😂😂"", 'Imagie carrys relatives  watching this 🤣🤣🤣🤣', '😅😅😅😅😅😅😅', ""Le carry's relatives watching this with him..."", ""Carryminati old videos are so funny 😂🤣 carryminati mimicry so funny 😂 I can't stop laughing 😂🤣"", '0:17 always had me hard 😂']"
